trial_type,item,group,variant,clause1,clause2,sentence
experimental,1,A,[A ← P],Before her mother did,Mary was scolded by her father,"Before her mother did, Mary was scolded by her father."
experimental,1,B,[P ← A],Before her sister was,Mary’s father scolded her,"Before her sister was, Mary’s father scolded her."
experimental,1,C,[A ← A],Before her mother did,Mary’s father scolded her,"Before her mother did, Mary’s father scolded her."
experimental,1,D,[P ← P],Before her sister was,Mary was scolded by her father,"Before her sister was, Mary was scolded by her father."
experimental,2,A,[P ← A],Before the confession was,the judge read the report first,"Before the confession was, the judge read the report first."
experimental,2,B,[A ← A],Before the lawyer did,the judge read the report first,"Before the lawyer did, the judge read the report first."
experimental,2,C,[P ← P],Before the confession was,the report was first read by the judge,"Before the confession was, the report was first read by the judge."
experimental,2,D,[A ← P],Before the lawyer did,the report was first read by the judge,"Before the lawyer did, the report was first read by the judge."
experimental,3,A,[A ← A],Before the President did,the Mayor first praised the fireman,"Before the President did, the Mayor first praised the fireman."
experimental,3,B,[P ← P],Before the policeman was,the fireman was first praised by the Mayor,"Before the policeman was, the fireman was first praised by the Mayor."
experimental,3,C,[A ← P],Before the President did,the fireman was first praised by the Mayor,"Before the President did, the fireman was first praised by the Mayor."
experimental,3,D,[P ← A],Before the policeman was,the Mayor first praised the fireman,"Before the policeman was, the Mayor first praised the fireman."
experimental,4,A,[P ← P],Before the loser was,the winner was hugged by the talk-show host,"Before the loser was, the winner was hugged by the talk-show host."
experimental,4,B,[A ← P],Before the announcer did,the winner was hugged by the talk-show host,"Before the announcer did, the winner was hugged by the talk-show host."
experimental,4,C,[P ← A],Before the loser was,the talk-show host hugged the winner,"Before the loser was, the talk-show host hugged the winner."
experimental,4,D,[A ← A],Before the announcer did,the talk-show host hugged the winner,"Before the announcer did, the talk-show host hugged the winner."
experimental,5,A,[A ← P],Before the advisor did,the student was praised by the old schoolmaster,"Before the advisor did, the student was praised by the old schoolmaster."
experimental,5,B,[P ← A],Before the Teaching Assistant was,the old schoolmaster praised the student,"Before the Teaching Assistant was, the old schoolmaster praised the student."
experimental,5,C,[A ← A],Before the advisor did,the old schoolmaster praised the student,"Before the advisor did, the old schoolmaster praised the student."
experimental,5,D,[P ← P],Before the Teaching Assistant was,the student was praised by the old schoolmaster,"Before the Teaching Assistant was, the student was praised by the old schoolmaster."
experimental,6,A,[P ← A],Before her sister was,Mary’s French grandmother gave her French classes,"Before her sister was, Mary’s French grandmother gave her French classes."
experimental,6,B,[A ← A],Before her French aunt did,Mary’s French grandmother gave her French classes,"Before her French aunt did, Mary’s French grandmother gave her French classes."
experimental,6,C,[P ← P],Before her sister was,Mary was given French classes by her French grandmother,"Before her sister was, Mary was given French classes by her French grandmother."
experimental,6,D,[A ← P],Before her French aunt did,Mary was given French classes by her French grandmother,"Before her French aunt did, Mary was given French classes by her French grandmother."
experimental,7,A,[A ← A],Before the credit union did,Susan’s bank offered her a loan,"Before the credit union did, Susan’s bank offered her a loan."
experimental,7,B,[P ← P],Before her sisters were,Susan was offered a loan by the bank,"Before her sisters were, Susan was offered a loan by the bank."
experimental,7,C,[A ← P],Before the credit union did,Susan was offered a loan by the bank,"Before the credit union did, Susan was offered a loan by the bank."
experimental,7,D,[P ← A],Before her sisters were,Susan’s bank offered her a loan,"Before her sisters were, Susan’s bank offered her a loan."
experimental,8,A,[P ← P],Before the accused was,the witness was surprised by the policeman’s question,"Before the accused was, the witness was surprised by the policeman’s question."
experimental,8,B,[A ← P],Before the lawyer did,the witness was surprised by the policeman’s question,"Before the lawyer did, the witness was surprised by the policeman’s question."
experimental,8,C,[P ← A],Before the accused was,the policeman’s question surprised the witness,"Before the accused was, the policeman’s question surprised the witness."
experimental,8,D,[A ← A],Before the lawyer did,the policeman’s question surprised the witness,"Before the lawyer did, the policeman’s question surprised the witness."
experimental,9,A,[A ← P],Before the big corporations did,the autoworkers were exploited by the local business,"Before the big corporations did, the autoworkers were exploited by the local business."
experimental,9,B,[P ← A],Before the metal workers were,the local business exploited the autoworkers,"Before the metal workers were, the local business exploited the autoworkers."
experimental,9,C,[A ← A],Before the big corporations did,the local business exploited the autoworkers,"Before the big corporations did, the local business exploited the autoworkers."
experimental,9,D,[P ← P],Before the metal workers were,the autoworkers were exploited by the local business,"Before the metal workers were, the autoworkers were exploited by the local business."
experimental,10,A,[P ← A],Before the Chief of Police was,the newspaper interviewed the Mayor,"Before the Chief of Police was, the newspaper interviewed the Mayor."
experimental,10,B,[A ← A],Before the TV networks did,the newspaper interviewed the Mayor,"Before the TV networks did, the newspaper interviewed the Mayor."
experimental,10,C,[P ← P],Before the Chief of Police was,the Mayor was interviewed by the newspapers,"Before the Chief of Police was, the Mayor was interviewed by the newspapers."
experimental,10,D,[A ← P],Before the TV networks did,the Mayor was interviewed by the newspapers,"Before the TV networks did, the Mayor was interviewed by the newspapers."
experimental,11,A,[A ← A],Before the lawyer did,the police questioned the suspect,"Before the lawyer did, the police questioned the suspect."
experimental,11,B,[P ← P],Before the witness was,the suspect was questioned by the police,"Before the witness was, the suspect was questioned by the police."
experimental,11,C,[A ← P],Before the lawyer did,the suspect was questioned by the police,"Before the lawyer did, the suspect was questioned by the police."
experimental,11,D,[P ← A],Before the witness was,the police questioned the suspect,"Before the witness was, the police questioned the suspect."
experimental,12,A,[P ← P],Before the head nurse was,the doctor was blamed by the child’s parents,"Before the head nurse was, the doctor was blamed by the child’s parents."
experimental,12,B,[A ← P],Before the insurance company did,the doctor was blamed by the child’s parents,"Before the insurance company did, the doctor was blamed by the child’s parents."
experimental,12,C,[P ← A],Before the head nurse was,the child’s parents blamed the doctor,"Before the head nurse was, the child’s parents blamed the doctor."
experimental,12,D,[A ← A],Before the insurance company did,the child’s parents blamed the doctor,"Before the insurance company did, the child’s parents blamed the doctor."
experimental,13,A,[A ← P],After John did already,the new girl was pushed again by Bill,"After John did already, the new girl was pushed again by Bill."
experimental,13,B,[P ← A],After Jill was already,Bill pushed the new girl again,"After Jill was already, Bill pushed the new girl again."
experimental,13,C,[A ← A],After John did already,Bill pushed the new girl again,"After John did already, Bill pushed the new girl again."
experimental,13,D,[P ← P],After Jill was already,the new girl was pushed again by Bill,"After Jill was already, the new girl was pushed again by Bill."
experimental,14,A,[P ← A],After his friend was previously,Customs questioned the student,"After his friend was previously, Customs questioned the student."
experimental,14,B,[A ← A],After Immigration did previously,Customs questioned the student,"After Immigration did previously, Customs questioned the student."
experimental,14,C,[P ← P],After his friend was previously,the student was questioned by Customs,"After his friend was previously, the student was questioned by Customs."
experimental,14,D,[A ← P],After Immigration did previously,the student was questioned by Customs,"After Immigration did previously, the student was questioned by Customs."
experimental,15,A,[A ← A],After the police did on Monday,the IRS investigated the accountant on Tuesday,"After the police did on Monday, the IRS investigated the accountant on Tuesday."
experimental,15,B,[P ← P],After the CEO was on Monday,the accountant was investigated by the IRS on Tuesday,"After the CEO was on Monday, the accountant was investigated by the IRS on Tuesday."
