sid,Value,age,dialect,trial_type,item,group,variant,clause1voice,clause2voice,mismatch,clause1,clause2,sentence
10,4,23,American English,filler,44,A,lower-bound non-elliptical,NA,NA,NA,,,The man wondered whether is worth reading what for him.
10,4,23,American English,experimental,17,A,[A ← P],active,passive,TRUE,After the club owner himself did earlier,the guitarist was booed by the audience,After the club owner himself did earlier%2C the guitarist was booed by the audience.
10,5,23,American English,filler,2,A,upper-bound elliptical,NA,NA,NA,,,The thief was arrested and his brother was as well.
10,5,23,American English,filler,39,A,lower-bound non-elliptical,NA,NA,NA,,,Most photographers forget whose they took picture within a day.
10,3,23,American English,experimental,18,A,[P ← A],passive,active,TRUE,After the chairs were already,the seller criticized the table,After the chairs were already%2C the seller criticized the table.
10,5,23,American English,filler,29,A,upper-bound non-elliptical,NA,NA,NA,,,Good coaches know which players play well under pressure.
10,5,23,American English,filler,8,A,upper-bound elliptical,NA,NA,NA,,,Somebody else should take out the garbage because I can't today.
10,3,23,American English,experimental,16,A,[P ← P],passive,passive,FALSE,After the tennis team was previously,the volleyball team was beaten by the Cubans,After the tennis team was previously%2C the volleyball team was beaten by the Cubans.
10,3,23,American English,filler,19,A,lower-bound elliptical,NA,NA,NA,,,I know why it happened but it wasn't.
10,3,23,American English,filler,47,A,lower-bound non-elliptical,NA,NA,NA,,,Don't do what he who doesn't hasn't yet been done.
10,2,23,American English,experimental,8,A,[P ← P],passive,passive,FALSE,Before the accused was,the witness was surprised by the policeman’s question,Before the accused was%2C the witness was surprised by the policeman’s question.
10,3,23,American English,filler,46,A,lower-bound non-elliptical,NA,NA,NA,,,What do you wish that to buy would be no problem?
10,4,23,American English,filler,14,A,lower-bound elliptical,NA,NA,NA,,,Even in areas where tap water is potable%2C one shouldn't.
10,3,23,American English,experimental,1,A,[A ← P],active,passive,TRUE,Before her mother did,Mary was scolded by her father,Before her mother did%2C Mary was scolded by her father.
10,3,23,American English,filler,23,A,lower-bound elliptical,NA,NA,NA,,,Joe was murdered%2C but we don't know who.
10,2,23,American English,filler,20,A,lower-bound elliptical,NA,NA,NA,,,Does he understand why and who didn't?
10,5,23,American English,experimental,9,A,[A ← P],active,passive,TRUE,Before the big corporations did,the autoworkers were exploited by the local business,Before the big corporations did%2C the autoworkers were exploited by the local business.
10,4,23,American English,filler,3,A,upper-bound elliptical,NA,NA,NA,,,I wish I knew where the remote control is%2C but I don't.
10,2,23,American English,filler,22,A,lower-bound elliptical,NA,NA,NA,,,That Harry is a fool bothers Dick%2C and that Bill is a fool Sam.
10,2,23,American English,experimental,20,A,[P ← P],passive,passive,FALSE,After the garage was previously,the house was photographed by Jill,After the garage was previously%2C the house was photographed by Jill.
10,5,23,American English,filler,31,A,upper-bound non-elliptical,NA,NA,NA,,,The soccer player was happy with his performance.
10,4,23,American English,filler,41,A,lower-bound non-elliptical,NA,NA,NA,,,The police found the painting that the journalist claimed who stole.
10,4,23,American English,experimental,15,A,[A ← A],active,active,FALSE,After the police did on Monday,the IRS investigated the accountant on Tuesday,After the police did on Monday%2C the IRS investigated the accountant on Tuesday.
10,3,23,American English,filler,45,A,lower-bound non-elliptical,NA,NA,NA,,,The mechanic didn't know what the attempt to repair ultimately damaged the car.
10,5,23,American English,filler,36,A,upper-bound non-elliptical,NA,NA,NA,,,You enjoy Action TV shows while I prefer documentaries.
10,3,23,American English,experimental,21,A,[A ← P],active,passive,TRUE,After Thorpe did previously,the 400 meter record was broken by Phelps,After Thorpe did previously%2C the 400 meter record was broken by Phelps.
10,3,23,American English,filler,17,A,lower-bound elliptical,NA,NA,NA,,,Most people can't lift heavy rocks%2C but I know a guy who can and bend a crowbar%2C too.
10,3,23,American English,filler,42,A,lower-bound non-elliptical,NA,NA,NA,,,Claire isn't as fast anymore as the reporter remembers who was five years ago.
10,2,23,American English,experimental,13,A,[A ← P],active,passive,TRUE,After John did already,the new girl was pushed again by Bill,After John did already%2C the new girl was pushed again by Bill.
10,5,23,American English,filler,35,A,upper-bound non-elliptical,NA,NA,NA,,,Some people's handwriting is so bad that they can't read it themselves.
10,5,23,American English,filler,4,A,upper-bound elliptical,NA,NA,NA,,,Some guests brought drinks to the party although they didn't have to.
10,3,23,American English,experimental,24,A,[P ← P],passive,passive,FALSE,After the local paper was already,the local writers were criticized by Tom,After the local paper was already%2C the local writers were criticized by Tom.
10,5,23,American English,filler,28,A,upper-bound non-elliptical,NA,NA,NA,,,Sometimes Susan has a hard time keeping up in class.
10,5,23,American English,filler,26,A,upper-bound non-elliptical,NA,NA,NA,,,Since you're not answering my question%2C I will assume that you don't know the answer.
10,3,23,American English,experimental,14,A,[P ← A],passive,active,TRUE,After his friend was previously,Customs questioned the student,After his friend was previously%2C Customs questioned the student.
10,2,23,American English,filler,40,A,lower-bound non-elliptical,NA,NA,NA,,,What did you meet a janitor that hates?
10,4,23,American English,filler,9,A,upper-bound elliptical,NA,NA,NA,,,Bob's always wanted to travel to Bolivia and now he finally did.
10,3,23,American English,experimental,11,A,[A ← A],active,active,FALSE,Before the lawyer did,the police questioned the suspect,Before the lawyer did%2C the police questioned the suspect.
10,1,23,American English,filler,37,A,lower-bound non-elliptical,NA,NA,NA,,,If it hasn't dark%2C it is easier to saw pedestrians.
10,3,23,American English,filler,18,A,lower-bound elliptical,NA,NA,NA,,,Kevin's diaper may be wet%2C but he won't.
